"Ticker","Nome","Negócios","Última (R$)","Variação"
"RAIZ4","Raízen","105.867.000","1,05","-12,50%"
"BBAS3","Banco do Brasil","70.251.100","19,85","+2,96%"
"PETR4","Petrobras","43.087.500","30,18","-1,28%"
"VALE3","Vale","42.823.200","53,42","-1,24%"
"COGN3","Cogna","37.953.700","2,87","+0,00%"
"CPLE6","Copel","31.931.900","12,12","+0,08%"
"CSAN3","Cosan","30.253.400","5,40","-6,57%"
"BBDC4","Banco Bradesco","29.789.000","16,01","-0,74%"
"ITSA4","Itaúsa","29.436.800","11,02","+0,00%"
"USIM5","Usiminas","26.539.500","4,00","-7,19%"
"ITUB4","Itaú Unibanco","26.037.600","37,62","-0,13%"
"B3SA3","B3","25.411.600","12,85","+1,18%"
"ABEV3","Ambev","21.777.500","12,02","-0,83%"
"MGLU3","Magazine Luiza","18.772.000","6,68","-0,74%"
"AZUL4","Azul","17.408.500","0,61","+3,39%"
"CSNA3","Siderúrgica Nacional","17.233.300","6,97","-6,06%"
"MRVE3","MRV","17.138.500","7,17","+3,61%"
"VAMO3","Grupo Vamos","15.697.200","3,85","-3,75%"
"PCAR3","Grupo Pão de Açúcar","15.156.100","2,67","-1,48%"
"HAPV3","Hapvida","13.913.300","37,77","+8,29%"
"CMIG4","Cemig","13.690.900","10,82","-0,64%"
"CVCB3","CVC","13.424.600","2,02","-2,42%"
"ASAI3","Assaí","12.760.700","10,05","+1,21%"
"LREN3","Lojas Renner","11.770.700","16,02","-0,44%"
"ENEV3","Eneva","11.641.400","14,15","+2,02%"
"GGBR4","Gerdau","11.099.800","16,30","-1,03%"
"BHIA3","Casas Bahia","10.205.600","2,87","-3,37%"
"VBBR3","Vibra Energia","9.819.500","21,28","+0,38%"
"EQTL3","Equatorial Energia","9.805.200","35,50","-0,50%"
"BEEF3","Minerva","9.259.500","4,79","-1,44%"
"CPLE3","Copel","9.253.900","11,34","+0,18%"
"AZTE3","AZT Energia","8.931.700","0,60","+9,09%"
"BBSE3","BB Seguridade","8.837.100","33,38","+0,94%"
"UGPA3","Ultrapar","8.745.600","17,64","+4,01%"
"SIMH3","Simpar","8.663.300","4,45","-3,05%"
"TAEE11","Taesa","8.378.800","33,33","+0,45%"
"CBAV3","CBA","8.366.300","3,04","-3,18%"
"BPAC11","Banco BTG Pactual","7.705.600","44,51","+0,47%"
"PETR3","Petrobras","7.398.900","32,63","-0,94%"
"CYRE3","Cyrela","7.225.800","25,19","+1,94%"
"VIVT3","Vivo","7.072.100","33,17","+0,24%"
"GMAT3","Grupo Mateus","7.035.200","7,04","-0,98%"
"ELET3","Eletrobras","6.957.500","44,28","-1,51%"
"TOTS3","Totvs","6.837.500","41,30","-2,46%"
"RAIL3","Rumo","6.785.600","16,04","+0,75%"
"POMO4","Marcopolo","6.576.000","8,97","+0,34%"
"ANIM3","Ânima Educação","6.533.600","3,35","-1,18%"
"GOAU4","Metalúrgica Gerdau","6.445.900","9,07","-0,98%"
